,Date,Close,Close,Close
1,3/2/2015 16:00:00,79.75,32.27,43.88
2,3/3/2015 16:00:00,79.6,32.34,43.28
3,3/4/2015 16:00:00,80.9,32.14,43.06
4,3/5/2015 16:00:00,81.21,31.6,43.11
5,3/6/2015 16:00:00,80.01,31.65,42.36
6,3/9/2015 16:00:00,79.44,31.79,42.85
7,3/10/2015 16:00:00,77.55,31.13,42.03
8,3/11/2015 16:00:00,77.57,30.56,41.98
9,3/12/2015 16:00:00,78.93,31.11,41.02
10,3/13/2015 16:00:00,78.05,30.9,41.38
11,3/16/2015 16:00:00,78.07,31.24,41.56
12,3/17/2015 16:00:00,79.36,31.76,41.7
13,3/18/2015 16:00:00,80.91,32.12,42.5
14,3/19/2015 16:00:00,82.75,31.87,42.29
15,3/20/2015 16:00:00,83.8,31.48,42.88
16,3/23/2015 16:00:00,84.43,31.8,42.86
17,3/24/2015 16:00:00,85.31,31.67,42.9
18,3/25/2015 16:00:00,82.92,30.85,41.46
19,3/26/2015 16:00:00,83.01,31.06,41.21
20,3/27/2015 16:00:00,83.3,30.81,40.97
21,3/30/2015 16:00:00,83.2,31.59,40.96
22,3/31/2015 16:00:00,82.22,31.11,40.66
23,4/1/2015 16:00:00,81.67,31.06,40.72
24,4/2/2015 16:00:00,81.56,31.33,40.29
25,4/6/2015 16:00:00,82.44,31.84,41.55
26,4/7/2015 16:00:00,82.32,31.5,41.53
27,4/8/2015 16:00:00,82.28,31.4,41.42
28,4/9/2015 16:00:00,82.17,31.64,41.48
29,4/10/2015 16:00:00,82.04,31.78,41.72
30,4/13/2015 16:00:00,83.01,31.71,41.76
31,4/14/2015 16:00:00,83.52,31.58,41.65
32,4/15/2015 16:00:00,82.71,31.7,42.26
33,4/16/2015 16:00:00,82.31,31.54,42.16
34,4/17/2015 16:00:00,80.78,31.19,41.62
35,4/20/2015 16:00:00,83.09,31.9,42.91
36,4/21/2015 16:00:00,83.62,31.73,42.64
37,4/22/2015 16:00:00,84.63,32.16,42.99
38,4/23/2015 16:00:00,82.41,32.42,43.34
39,4/24/2015 16:00:00,81.53,32.57,47.87
40,4/27/2015 16:00:00,81.91,33.16,48.03
41,4/28/2015 16:00:00,80.68,32.64,49.16
42,4/29/2015 16:00:00,80.47,32.16,49.06
43,4/30/2015 16:00:00,78.77,31.29,48.64
44,5/1/2015 16:00:00,78.99,32.24,48.66
45,5/4/2015 16:00:00,78.81,32.17,48.24
46,5/5/2015 16:00:00,77.56,31.45,47.6
47,5/6/2015 16:00:00,78.1,31.25,46.28
48,5/7/2015 16:00:00,78.43,31.32,46.7
49,5/8/2015 16:00:00,78.51,31.91,47.75
50,5/11/2015 16:00:00,78.01,31.58,47.37
51,5/12/2015 16:00:00,77.46,31.47,47.35
52,5/13/2015 16:00:00,78.44,31.5,47.63
53,5/14/2015 16:00:00,81.37,32.24,48.72
54,5/15/2015 16:00:00,80.42,32.19,48.3
55,5/18/2015 16:00:00,80.88,32.55,48.01
56,5/19/2015 16:00:00,80.63,32.52,47.58
57,5/20/2015 16:00:00,80.55,32.52,47.58
58,5/21/2015 16:00:00,80.48,32.85,47.42
59,5/22/2015 16:00:00,80.54,33.14,46.9
60,5/26/2015 16:00:00,79.33,32.41,46.59
61,5/27/2015 16:00:00,80.55,33.01,47.61
62,5/28/2015 16:00:00,80.15,32.95,47.45
63,5/29/2015 16:00:00,79.19,32.57,46.86
64,6/1/2015 16:00:00,80.29,32.63,47.23
65,6/2/2015 16:00:00,80.44,32.49,46.92
66,6/3/2015 16:00:00,82.44,32.53,46.85
67,6/4/2015 16:00:00,82.05,32.34,46.36
68,6/5/2015 16:00:00,82.14,32.16,46.14
69,6/8/2015 16:00:00,80.67,31.95,45.73
70,6/9/2015 16:00:00,80.67,31.86,45.65
71,6/10/2015 16:00:00,82.16,32.22,46.61
72,6/11/2015 16:00:00,81.83,32.15,46.44
73,6/12/2015 16:00:00,81.53,31.79,45.97
74,6/15/2015 16:00:00,80.71,31.73,45.48
75,6/16/2015 16:00:00,81.06,31.9,45.83
76,6/17/2015 16:00:00,81.79,31.83,45.97
77,6/18/2015 16:00:00,82.91,31.97,46.72
78,6/19/2015 16:00:00,82.51,31.65,46.1
79,6/22/2015 16:00:00,84.74,31.9,46.23
80,6/23/2015 16:00:00,87.88,31.76,45.91
81,6/24/2015 16:00:00,88.86,32.03,45.64
82,6/25/2015 16:00:00,87.98,31.88,45.65
83,6/26/2015 16:00:00,88.01,31.69,45.26
84,6/29/2015 16:00:00,85.8,31.13,44.37
85,6/30/2015 16:00:00,85.77,31.36,44.15
86,7/1/2015 16:00:00,86.91,31.65,44.45
87,7/2/2015 16:00:00,87.29,31.61,44.4
88,7/6/2015 16:00:00,87.55,31.5,44.39
89,7/7/2015 16:00:00,87.22,31.42,44.3
90,7/8/2015 16:00:00,85.65,30.64,44.24
91,7/9/2015 16:00:00,85.88,30.02,44.52
92,7/10/2015 16:00:00,87.95,30.82,44.61
93,7/13/2015 16:00:00,90.1,31.42,45.54
94,7/14/2015 16:00:00,89.68,31.4,45.62
95,7/15/2015 16:00:00,89.76,31.71,45.76
96,7/16/2015 16:00:00,90.85,32.13,46.66
97,7/17/2015 16:00:00,94.97,32.41,46.62
98,7/20/2015 16:00:00,97.91,33.02,46.92
99,7/21/2015 16:00:00,98.39,32.69,47.28
100,7/22/2015 16:00:00,97.04,31.31,45.54
101,7/23/2015 16:00:00,95.44,31.29,46.11
102,7/24/2015 16:00:00,96.95,31.13,45.94
103,7/27/2015 16:00:00,94.17,30.69,45.35
104,7/28/2015 16:00:00,95.29,30.85,45.34
105,7/29/2015 16:00:00,96.99,30.75,46.29
106,7/30/2015 16:00:00,95.21,30.59,46.88
107,7/31/2015 16:00:00,94.01,30.33,46.7
108,8/3/2015 16:00:00,94.14,29.61,46.81
109,8/4/2015 16:00:00,94.06,28.66,47.54
110,8/5/2015 16:00:00,96.44,28.85,47.58
111,8/6/2015 16:00:00,95.12,28.78,46.62
112,8/7/2015 16:00:00,94.3,28.88,46.74
113,8/10/2015 16:00:00,94.15,29.93,47.33
114,8/11/2015 16:00:00,93.62,28.37,46.41
115,8/12/2015 16:00:00,94.19,28.81,46.74
116,8/13/2015 16:00:00,93.43,28.79,46.73
117,8/14/2015 16:00:00,94.42,28.99,47
118,8/17/2015 16:00:00,93.93,29.29,47.32
119,8/18/2015 16:00:00,95.17,29.13,47.27
120,8/19/2015 16:00:00,95.31,28.75,46.61
121,8/20/2015 16:00:00,90.56,28.16,45.66
122,8/21/2015 16:00:00,86.06,26.44,43.07
123,8/24/2015 16:00:00,82.09,25.78,41.68
124,8/25/2015 16:00:00,83,25.94,40.47
125,8/26/2015 16:00:00,87.19,27.42,42.71
126,8/27/2015 16:00:00,89.73,28.23,43.9
127,8/28/2015 16:00:00,91.01,28.32,43.93
128,8/31/2015 16:00:00,89.43,28.19,43.52
129,9/1/2015 16:00:00,87.23,26.93,41.82
130,9/2/2015 16:00:00,89.89,28.09,43.36
131,9/3/2015 16:00:00,88.15,27.59,43.5
132,9/4/2015 16:00:00,88.26,27.32,42.61
133,9/8/2015 16:00:00,89.53,28.08,43.89
134,9/9/2015 16:00:00,90.44,27.54,43.07
135,9/10/2015 16:00:00,91.98,28.14,43.29
136,9/11/2015 16:00:00,92.05,28.55,43.48
137,9/14/2015 16:00:00,92.31,28.83,43.04
138,9/15/2015 16:00:00,92.9,29.07,43.98
139,9/16/2015 16:00:00,93.45,29.1,44.3
140,9/17/2015 16:00:00,94.34,28.48,44.25
141,9/18/2015 16:00:00,94.4,28.36,43.48
142,9/21/2015 16:00:00,95.55,28.8,44.11
143,9/22/2015 16:00:00,92.96,28.35,43.9
144,9/23/2015 16:00:00,93.97,28.58,43.87
