Date,Close
2-Mar-15,79.75
3-Mar-15,79.6
4-Mar-15,80.9
5-Mar-15,81.21
6-Mar-15,80.01
9-Mar-15,79.44
10-Mar-15,77.55
11-Mar-15,77.57
12-Mar-15,78.93
13-Mar-15,78.05
16-Mar-15,78.07
17-Mar-15,79.36
18-Mar-15,80.91
19-Mar-15,82.75
20-Mar-15,83.8
23-Mar-15,84.43
24-Mar-15,85.31
25-Mar-15,82.92
26-Mar-15,83.01
27-Mar-15,83.3
30-Mar-15,83.2
31-Mar-15,82.22
1-Apr-15,81.67
2-Apr-15,81.56
6-Apr-15,82.44
7-Apr-15,82.32
8-Apr-15,82.28
9-Apr-15,82.17
10-Apr-15,82.04
13-Apr-15,83.01
14-Apr-15,83.52
15-Apr-15,82.71
16-Apr-15,82.31
17-Apr-15,80.78
20-Apr-15,83.09
21-Apr-15,83.62
22-Apr-15,84.63
23-Apr-15,82.41
24-Apr-15,81.53
27-Apr-15,81.91
28-Apr-15,80.68
29-Apr-15,80.47
30-Apr-15,78.77
1-May-15,78.99
4-May-15,78.81
5-May-15,77.56
6-May-15,78.1
7-May-15,78.43
8-May-15,78.51
11-May-15,78.01
12-May-15,77.46
13-May-15,78.44
14-May-15,81.37
15-May-15,80.42
18-May-15,80.88
19-May-15,80.63
20-May-15,80.55
21-May-15,80.48
22-May-15,80.54
26-May-15,79.33
27-May-15,80.55
28-May-15,80.15
29-May-15,79.19
1-Jun-15,80.29
2-Jun-15,80.44
3-Jun-15,82.44
4-Jun-15,82.05
5-Jun-15,82.14
8-Jun-15,80.67
9-Jun-15,80.67
10-Jun-15,82.16
11-Jun-15,81.83
12-Jun-15,81.53
15-Jun-15,80.71
16-Jun-15,81.06
17-Jun-15,81.79
18-Jun-15,82.91
19-Jun-15,82.51
22-Jun-15,84.74
23-Jun-15,87.88
24-Jun-15,88.86
25-Jun-15,87.98
26-Jun-15,88.01
29-Jun-15,85.8
30-Jun-15,85.77
1-Jul-15,86.91
2-Jul-15,87.29
6-Jul-15,87.55
7-Jul-15,87.22
8-Jul-15,85.65
9-Jul-15,85.88
10-Jul-15,87.95
13-Jul-15,90.1
14-Jul-15,89.68
15-Jul-15,89.76
16-Jul-15,90.85
17-Jul-15,94.97
20-Jul-15,97.91
21-Jul-15,98.39
22-Jul-15,97.04
23-Jul-15,95.44
24-Jul-15,96.95
27-Jul-15,94.17
28-Jul-15,95.29
29-Jul-15,96.99
30-Jul-15,95.21
31-Jul-15,94.01
3-Aug-15,94.14
4-Aug-15,94.06
5-Aug-15,96.44
6-Aug-15,95.12
7-Aug-15,94.3
10-Aug-15,94.15
11-Aug-15,93.62
12-Aug-15,94.19
13-Aug-15,93.43
14-Aug-15,94.42
17-Aug-15,93.93
18-Aug-15,95.17
19-Aug-15,95.31
20-Aug-15,90.56
21-Aug-15,86.06
24-Aug-15,82.09
25-Aug-15,83
26-Aug-15,87.19
27-Aug-15,89.73
28-Aug-15,91.01
