Date,Close
2-Mar-15,43.88
3-Mar-15,43.28
4-Mar-15,43.06
5-Mar-15,43.11
6-Mar-15,42.36
9-Mar-15,42.85
10-Mar-15,42.03
11-Mar-15,41.98
12-Mar-15,41.02
13-Mar-15,41.38
16-Mar-15,41.56
17-Mar-15,41.7
18-Mar-15,42.5
19-Mar-15,42.29
20-Mar-15,42.88
23-Mar-15,42.86
24-Mar-15,42.9
25-Mar-15,41.46
26-Mar-15,41.21
27-Mar-15,40.97
30-Mar-15,40.96
31-Mar-15,40.66
1-Apr-15,40.72
2-Apr-15,40.29
6-Apr-15,41.55
7-Apr-15,41.53
8-Apr-15,41.42
9-Apr-15,41.48
10-Apr-15,41.72
13-Apr-15,41.76
14-Apr-15,41.65
15-Apr-15,42.26
16-Apr-15,42.16
17-Apr-15,41.62
20-Apr-15,42.91
21-Apr-15,42.64
22-Apr-15,42.99
23-Apr-15,43.34
24-Apr-15,47.87
27-Apr-15,48.03
28-Apr-15,49.16
29-Apr-15,49.06
30-Apr-15,48.64
1-May-15,48.66
4-May-15,48.24
5-May-15,47.6
6-May-15,46.28
7-May-15,46.7
8-May-15,47.75
11-May-15,47.37
12-May-15,47.35
13-May-15,47.63
14-May-15,48.72
15-May-15,48.3
18-May-15,48.01
19-May-15,47.58
20-May-15,47.58
21-May-15,47.42
22-May-15,46.9
26-May-15,46.59
27-May-15,47.61
28-May-15,47.45
29-May-15,46.86
1-Jun-15,47.23
2-Jun-15,46.92
3-Jun-15,46.85
4-Jun-15,46.36
5-Jun-15,46.14
8-Jun-15,45.73
9-Jun-15,45.65
10-Jun-15,46.61
11-Jun-15,46.44
12-Jun-15,45.97
15-Jun-15,45.48
16-Jun-15,45.83
17-Jun-15,45.97
18-Jun-15,46.72
19-Jun-15,46.1
22-Jun-15,46.23
23-Jun-15,45.91
24-Jun-15,45.64
25-Jun-15,45.65
26-Jun-15,45.26
29-Jun-15,44.37
30-Jun-15,44.15
1-Jul-15,44.45
2-Jul-15,44.4
6-Jul-15,44.39
7-Jul-15,44.3
8-Jul-15,44.24
9-Jul-15,44.52
10-Jul-15,44.61
13-Jul-15,45.54
14-Jul-15,45.62
15-Jul-15,45.76
16-Jul-15,46.66
17-Jul-15,46.62
20-Jul-15,46.92
21-Jul-15,47.28
22-Jul-15,45.54
23-Jul-15,46.11
24-Jul-15,45.94
27-Jul-15,45.35
28-Jul-15,45.34
29-Jul-15,46.29
30-Jul-15,46.88
31-Jul-15,46.7
3-Aug-15,46.81
4-Aug-15,47.54
5-Aug-15,47.58
6-Aug-15,46.62
7-Aug-15,46.74
10-Aug-15,47.33
11-Aug-15,46.41
12-Aug-15,46.74
13-Aug-15,46.73
14-Aug-15,47
17-Aug-15,47.32
18-Aug-15,47.27
19-Aug-15,46.61
20-Aug-15,45.66
21-Aug-15,43.07
24-Aug-15,41.68
25-Aug-15,40.47
26-Aug-15,42.71
27-Aug-15,43.9
28-Aug-15,43.93
31-Aug-15,43.52
1-Sep-15,41.82
2-Sep-15,43.36
3-Sep-15,43.5
4-Sep-15,42.61
8-Sep-15,43.89
9-Sep-15,43.07
10-Sep-15,43.29
11-Sep-15,43.48
14-Sep-15,43.04
15-Sep-15,43.98
16-Sep-15,44.3
17-Sep-15,44.25
18-Sep-15,43.48
21-Sep-15,44.11
22-Sep-15,43.9
23-Sep-15,43.87
24-Sep-15,43.91
25-Sep-15,43.94
28-Sep-15,43.29
29-Sep-15,43.44
30-Sep-15,44.26
1-Oct-15,44.61
2-Oct-15,45.57
5-Oct-15,46.63
6-Oct-15,46.75
7-Oct-15,46.8
8-Oct-15,47.45
9-Oct-15,47.11
12-Oct-15,47
13-Oct-15,46.89
14-Oct-15,46.68
