Date,Close
2-Mar-15,32.27
3-Mar-15,32.34
4-Mar-15,32.14
5-Mar-15,31.6
6-Mar-15,31.65
9-Mar-15,31.79
10-Mar-15,31.13
11-Mar-15,30.56
12-Mar-15,31.11
13-Mar-15,30.9
16-Mar-15,31.24
17-Mar-15,31.76
18-Mar-15,32.12
19-Mar-15,31.87
20-Mar-15,31.48
23-Mar-15,31.8
24-Mar-15,31.67
25-Mar-15,30.85
26-Mar-15,31.06
27-Mar-15,30.81
30-Mar-15,31.59
31-Mar-15,31.11
1-Apr-15,31.06
2-Apr-15,31.33
6-Apr-15,31.84
7-Apr-15,31.5
8-Apr-15,31.4
9-Apr-15,31.64
10-Apr-15,31.78
13-Apr-15,31.71
14-Apr-15,31.58
15-Apr-15,31.7
16-Apr-15,31.54
17-Apr-15,31.19
20-Apr-15,31.9
21-Apr-15,31.73
22-Apr-15,32.16
23-Apr-15,32.42
24-Apr-15,32.57
27-Apr-15,33.16
28-Apr-15,32.64
29-Apr-15,32.16
30-Apr-15,31.29
1-May-15,32.24
4-May-15,32.17
5-May-15,31.45
6-May-15,31.25
7-May-15,31.32
8-May-15,31.91
11-May-15,31.58
12-May-15,31.47
13-May-15,31.5
14-May-15,32.24
15-May-15,32.19
18-May-15,32.55
19-May-15,32.52
20-May-15,32.52
21-May-15,32.85
22-May-15,33.14
26-May-15,32.41
27-May-15,33.01
28-May-15,32.95
29-May-15,32.57
1-Jun-15,32.63
2-Jun-15,32.49
3-Jun-15,32.53
4-Jun-15,32.34
5-Jun-15,32.16
8-Jun-15,31.95
9-Jun-15,31.86
10-Jun-15,32.22
11-Jun-15,32.15
12-Jun-15,31.79
15-Jun-15,31.73
16-Jun-15,31.9
17-Jun-15,31.83
18-Jun-15,31.97
19-Jun-15,31.65
22-Jun-15,31.9
23-Jun-15,31.76
24-Jun-15,32.03
25-Jun-15,31.88
26-Jun-15,31.69
29-Jun-15,31.13
30-Jun-15,31.36
1-Jul-15,31.65
2-Jul-15,31.61
6-Jul-15,31.5
7-Jul-15,31.42
8-Jul-15,30.64
9-Jul-15,30.02
10-Jul-15,30.82
13-Jul-15,31.42
14-Jul-15,31.4
15-Jul-15,31.71
16-Jul-15,32.13
17-Jul-15,32.41
20-Jul-15,33.02
21-Jul-15,32.69
22-Jul-15,31.31
23-Jul-15,31.29
24-Jul-15,31.13
27-Jul-15,30.69
28-Jul-15,30.85
29-Jul-15,30.75
30-Jul-15,30.59
31-Jul-15,30.33
3-Aug-15,29.61
4-Aug-15,28.66
5-Aug-15,28.85
6-Aug-15,28.78
7-Aug-15,28.88
10-Aug-15,29.93
11-Aug-15,28.37
12-Aug-15,28.81
13-Aug-15,28.79
14-Aug-15,28.99
17-Aug-15,29.29
18-Aug-15,29.13
19-Aug-15,28.75
20-Aug-15,28.16
21-Aug-15,26.44
24-Aug-15,25.78
25-Aug-15,25.94
26-Aug-15,27.42
27-Aug-15,28.23
28-Aug-15,28.32
31-Aug-15,28.19
1-Sep-15,26.93
2-Sep-15,28.09
3-Sep-15,27.59
4-Sep-15,27.32
8-Sep-15,28.08
9-Sep-15,27.54
10-Sep-15,28.14
11-Sep-15,28.55
14-Sep-15,28.83
15-Sep-15,29.07
16-Sep-15,29.1
17-Sep-15,28.48
18-Sep-15,28.36
21-Sep-15,28.8
22-Sep-15,28.35
23-Sep-15,28.58
24-Sep-15,28.75
25-Sep-15,28.68
28-Sep-15,28.11
29-Sep-15,27.27
30-Sep-15,27.58
1-Oct-15,27.4
2-Oct-15,27.6
5-Oct-15,27.7
6-Oct-15,27.83
7-Oct-15,27.7
8-Oct-15,27.38
9-Oct-15,28.03
12-Oct-15,27.9
13-Oct-15,27.95
14-Oct-15,27.55
15-Oct-15,27.97
16-Oct-15,27.76
19-Oct-15,27.93
20-Oct-15,28.44
21-Oct-15,28.44
22-Oct-15,28.88
23-Oct-15,29.77
26-Oct-15,28.82
27-Oct-15,28.64
28-Oct-15,29.82
29-Oct-15,30.13
30-Oct-15,29.88
2-Nov-15,30.3
3-Nov-15,30.64
4-Nov-15,30.5
5-Nov-15,30.23
6-Nov-15,30.27
9-Nov-15,30.14
10-Nov-15,29.19
11-Nov-15,29.03
12-Nov-15,28.93
13-Nov-15,28.09
16-Nov-15,28.54
17-Nov-15,28.42
18-Nov-15,29.32
19-Nov-15,29.7
20-Nov-15,29.83
23-Nov-15,29.44
24-Nov-15,29.72
25-Nov-15,29.51
27-Nov-15,29.45
30-Nov-15,29.58
1-Dec-15,29.34
2-Dec-15,29.07
3-Dec-15,28.8
4-Dec-15,29.76
7-Dec-15,29.57
8-Dec-15,29.56
9-Dec-15,28.91
10-Dec-15,29.04
11-Dec-15,28.3
14-Dec-15,28.12
15-Dec-15,27.62
16-Dec-15,27.84
17-Dec-15,27.25
18-Dec-15,26.51
21-Dec-15,26.83
22-Dec-15,26.81
23-Dec-15,27.15
24-Dec-15,27.01
28-Dec-15,26.71
29-Dec-15,27.19
30-Dec-15,26.83
31-Dec-15,26.32
4-Jan-16,26.34
5-Jan-16,25.68
6-Jan-16,25.18
7-Jan-16,24.11
8-Jan-16,24.24
11-Jan-16,24.63
12-Jan-16,24.99
13-Jan-16,24.35
14-Jan-16,24.88
15-Jan-16,24.28
19-Jan-16,24.17
20-Jan-16,24.2
21-Jan-16,24.08
22-Jan-16,25.36
25-Jan-16,24.86
26-Jan-16,25
27-Jan-16,23.36
28-Jan-16,23.52
29-Jan-16,24.34
1-Feb-16,24.11
2-Feb-16,23.62
3-Feb-16,24.09
4-Feb-16,24.15
5-Feb-16,23.51
8-Feb-16,23.75
9-Feb-16,23.75
10-Feb-16,23.57
11-Feb-16,23.43
12-Feb-16,23.5
16-Feb-16,24.16
17-Feb-16,24.53
18-Feb-16,24.07
19-Feb-16,24.01
22-Feb-16,24.22
23-Feb-16,23.67
24-Feb-16,24.03
25-Feb-16,24.19
26-Feb-16,24.23
29-Feb-16,24.17
1-Mar-16,25.13
2-Mar-16,25.19
3-Mar-16,25.38
4-Mar-16,25.75
7-Mar-16,25.47
8-Mar-16,25.26
9-Mar-16,25.28
10-Mar-16,25.29
11-Mar-16,25.57
14-Mar-16,25.63
15-Mar-16,26.15
16-Mar-16,26.49
17-Mar-16,26.45
18-Mar-16,26.48
21-Mar-16,26.48
22-Mar-16,26.68
23-Mar-16,26.53
24-Mar-16,26.42
28-Mar-16,26.3
29-Mar-16,26.92
30-Mar-16,27.39
31-Mar-16,27.25
1-Apr-16,27.5
4-Apr-16,27.78
5-Apr-16,27.45
6-Apr-16,27.74
7-Apr-16,27.14
8-Apr-16,27.17
11-Apr-16,27.26
12-Apr-16,27.61
13-Apr-16,28.01
14-Apr-16,28.03
15-Apr-16,27.46
18-Apr-16,26.87
19-Apr-16,26.73
20-Apr-16,26.78
21-Apr-16,26.49
22-Apr-16,26.42
25-Apr-16,26.27
26-Apr-16,26.09
27-Apr-16,24.46
28-Apr-16,23.71
29-Apr-16,23.44
2-May-16,23.41
3-May-16,23.8
4-May-16,23.55
5-May-16,23.31
6-May-16,23.18
9-May-16,23.2
10-May-16,23.36
11-May-16,23.13
12-May-16,22.59
13-May-16,22.63
16-May-16,23.47
17-May-16,23.37
18-May-16,23.64
19-May-16,23.55
20-May-16,23.81
23-May-16,24.11
24-May-16,24.48
25-May-16,24.91
26-May-16,25.1
27-May-16,25.09
31-May-16,24.97
1-Jun-16,24.62
2-Jun-16,24.43
3-Jun-16,24.48
6-Jun-16,24.66
7-Jun-16,24.76
8-Jun-16,24.74
9-Jun-16,24.91
10-Jun-16,24.71
13-Jun-16,24.34
14-Jun-16,24.37
15-Jun-16,24.29
16-Jun-16,24.39
17-Jun-16,23.83
20-Jun-16,23.78
21-Jun-16,23.98
22-Jun-16,23.89
23-Jun-16,24.03
24-Jun-16,23.35
27-Jun-16,23.01
28-Jun-16,23.4
29-Jun-16,23.6
30-Jun-16,23.9
1-Jul-16,23.97
5-Jul-16,23.75
6-Jul-16,23.88
7-Jul-16,23.99
8-Jul-16,24.17
11-Jul-16,24.25
12-Jul-16,24.36
13-Jul-16,24.22
14-Jul-16,24.7
15-Jul-16,24.7
18-Jul-16,24.96
19-Jul-16,24.97
20-Jul-16,24.99
21-Jul-16,24.86
22-Jul-16,24.67
25-Jul-16,24.34
26-Jul-16,24.17
27-Jul-16,25.74
28-Jul-16,26.09
29-Jul-16,26.05
1-Aug-16,26.51
2-Aug-16,26.12
3-Aug-16,26.45
4-Aug-16,26.47
5-Aug-16,26.87
8-Aug-16,27.09
9-Aug-16,27.2
10-Aug-16,27
11-Aug-16,26.98
12-Aug-16,27.05
15-Aug-16,27.37
16-Aug-16,27.35
17-Aug-16,27.31
18-Aug-16,27.27
19-Aug-16,27.34
22-Aug-16,27.13
23-Aug-16,27.21
24-Aug-16,27.01
25-Aug-16,26.89
26-Aug-16,26.74
29-Aug-16,26.71
30-Aug-16,26.5
31-Aug-16,26.53
1-Sep-16,26.68
2-Sep-16,26.93
6-Sep-16,26.93
7-Sep-16,27.09
8-Sep-16,26.38
9-Sep-16,25.78
12-Sep-16,26.36
13-Sep-16,26.99
14-Sep-16,27.94
15-Sep-16,28.89
16-Sep-16,28.73
19-Sep-16,28.4
20-Sep-16,28.39
21-Sep-16,28.39
22-Sep-16,28.66
23-Sep-16,28.18
26-Sep-16,28.22
27-Sep-16,28.27
28-Sep-16,28.49
29-Sep-16,28.05
30-Sep-16,28.26
3-Oct-16,28.13
4-Oct-16,28.25
5-Oct-16,28.26
6-Oct-16,28.47
7-Oct-16,28.52
10-Oct-16,29.01
11-Oct-16,29.08
12-Oct-16,29.34
13-Oct-16,29.25
14-Oct-16,29.41
17-Oct-16,29.39
18-Oct-16,29.37
19-Oct-16,29.28
20-Oct-16,29.27
21-Oct-16,29.15
24-Oct-16,29.41
25-Oct-16,29.56
26-Oct-16,28.9
27-Oct-16,28.62
28-Oct-16,28.43
31-Oct-16,28.39
1-Nov-16,27.87
2-Nov-16,27.9
3-Nov-16,27.46
4-Nov-16,27.21
7-Nov-16,27.6
8-Nov-16,27.77
9-Nov-16,27.72
10-Nov-16,26.95
11-Nov-16,27.11
14-Nov-16,26.43
15-Nov-16,26.78
16-Nov-16,27.5
17-Nov-16,27.49
18-Nov-16,27.52
21-Nov-16,27.93
22-Nov-16,27.95
23-Nov-16,27.81
25-Nov-16,27.95
28-Nov-16,27.89
29-Nov-16,27.87
30-Nov-16,27.63
1-Dec-16,27.37
2-Dec-16,27.48
5-Dec-16,27.28
6-Dec-16,27.49
7-Dec-16,27.76
8-Dec-16,28.03
9-Dec-16,28.49
12-Dec-16,28.33
13-Dec-16,28.8
14-Dec-16,28.8
15-Dec-16,28.96
16-Dec-16,28.99
19-Dec-16,29.16
20-Dec-16,29.24
21-Dec-16,29.27
22-Dec-16,29.07
23-Dec-16,29.13
27-Dec-16,29.32
28-Dec-16,29.19
29-Dec-16,29.18
30-Dec-16,28.96
3-Jan-17,29.04
4-Jan-17,29.01
5-Jan-17,29.15
6-Jan-17,29.48
9-Jan-17,29.75
10-Jan-17,29.78
11-Jan-17,29.94
12-Jan-17,29.81
13-Jan-17,29.76
17-Jan-17,30
18-Jan-17,30
19-Jan-17,29.95
20-Jan-17,30
23-Jan-17,30.02
24-Jan-17,29.99
25-Jan-17,30.47
26-Jan-17,30.49
27-Jan-17,30.49
30-Jan-17,30.41
31-Jan-17,30.34
1-Feb-17,32.19
2-Feb-17,32.13
3-Feb-17,32.27
6-Feb-17,32.57
7-Feb-17,32.88
8-Feb-17,33.01
9-Feb-17,33.1
10-Feb-17,33.03
13-Feb-17,33.32
14-Feb-17,33.76
15-Feb-17,33.88
16-Feb-17,33.84
17-Feb-17,33.93
21-Feb-17,34.17
22-Feb-17,34.28
23-Feb-17,34.13
24-Feb-17,34.17
27-Feb-17,34.23
28-Feb-17,34.25
1-Mar-17,34.95
2-Mar-17,34.74
3-Mar-17,34.95
6-Mar-17,34.84
7-Mar-17,34.88
8-Mar-17,34.75
9-Mar-17,34.67
10-Mar-17,34.78
13-Mar-17,34.8
14-Mar-17,34.75
15-Mar-17,35.12
